,head,relation,tail
0,7633,start_time,0
1,7634,start_time,0
2,7635,start_time,0
3,7636,start_time,0
4,7637,start_time,0
5,7638,start_time,0
6,7639,start_time,0
7,7640,start_time,0
8,7641,start_time,0
9,7642,start_time,0
10,7643,start_time,0
11,7644,start_time,0
12,7645,start_time,0
13,7646,start_time,0
14,7647,start_time,0
15,7648,start_time,0
16,7649,start_time,0
17,7650,start_time,0
18,7651,start_time,0
19,7652,start_time,0
20,7653,start_time,0
21,7654,start_time,0
22,7655,start_time,0
23,7656,start_time,0
24,7657,start_time,0
25,7658,start_time,0
26,7659,start_time,0
27,7660,start_time,0
28,7661,start_time,0
29,7662,start_time,0
30,7663,start_time,0
31,7664,start_time,0
32,7665,start_time,0
33,7666,start_time,0
34,7667,start_time,0
35,7668,start_time,0
36,7669,start_time,0
37,7670,start_time,0
38,7671,start_time,0
39,7672,start_time,0
40,7673,start_time,0
41,7674,start_time,
42,7675,start_time,0
43,7676,start_time,0
44,7677,start_time,1600
45,7678,start_time,1600
46,7679,start_time,1600
47,7680,start_time,900
48,7681,start_time,940
49,7682,start_time,2200
50,7683,start_time,940
51,7684,start_time,0
52,7685,start_time,0
53,7686,start_time,0
54,7687,start_time,0
55,7688,start_time,0
56,7689,start_time,0
57,7690,start_time,0
58,7691,start_time,0
59,7692,start_time,300
60,7693,start_time,300
61,7694,start_time,300
62,7695,start_time,300
63,7696,start_time,300
64,7697,start_time,300
65,7698,start_time,300
66,7699,start_time,300
67,7700,start_time,300
68,7701,start_time,0
69,7702,start_time,0
70,7703,start_time,0
71,7704,start_time,1240
72,7705,start_time,0
73,7706,start_time,0
74,7707,start_time,1000
75,7708,start_time,1000
76,7709,start_time,1000
77,7710,start_time,1000
78,7711,start_time,1000
79,7712,start_time,150
80,7713,start_time,1627
81,7714,start_time,0
82,7715,start_time,0
83,7716,start_time,0
84,7717,start_time,0
85,7718,start_time,0
86,7719,start_time,0
87,7720,start_time,0
88,7721,start_time,0
89,7722,start_time,0
90,7723,start_time,0
91,7724,start_time,0
92,7725,start_time,0
93,7726,start_time,0
94,7727,start_time,0
95,7728,start_time,0
96,7729,start_time,0
97,7730,start_time,0
98,7731,start_time,0
99,7732,start_time,0
100,7733,start_time,0
101,7734,start_time,1630
102,7735,start_time,1630
103,7736,start_time,1630
104,7737,start_time,1630
105,7738,start_time,1630
106,7739,start_time,1630
107,7740,start_time,1630
108,7741,start_time,1630
109,7742,start_time,1630
110,7743,start_time,1630
111,7744,start_time,1630
112,7745,start_time,1630
113,7746,start_time,1630
114,7747,start_time,0
115,7748,start_time,0
116,7749,start_time,0
117,7750,start_time,0
118,7751,start_time,0
119,7752,start_time,300
120,7753,start_time,2300
121,7754,start_time,2300
122,7755,start_time,2300
123,7756,start_time,2300
124,7757,start_time,2300
125,7758,start_time,2300
126,7759,start_time,0
127,7760,start_time,0
128,7761,start_time,0
129,7762,start_time,1000
130,7763,start_time,0
131,7764,start_time,0
132,7765,start_time,0
133,7766,start_time,0
134,7767,start_time,0
135,7768,start_time,0
136,7769,start_time,0
137,7770,start_time,0
138,7771,start_time,0
139,7772,start_time,0
140,7773,start_time,0
141,7774,start_time,0
142,7775,start_time,0
143,7776,start_time,0
144,7777,start_time,0
145,7778,start_time,0
146,7779,start_time,0
147,7780,start_time,0
148,7781,start_time,0
149,7782,start_time,0
150,7783,start_time,0
151,7784,start_time,0
152,7785,start_time,0
153,7786,start_time,0
154,7787,start_time,0
155,7788,start_time,0
156,7789,start_time,0
157,7790,start_time,0
158,7791,start_time,0
159,7792,start_time,0
160,7793,start_time,0
161,7794,start_time,0
162,7795,start_time,0
163,7796,start_time,0
164,7797,start_time,0
165,7798,start_time,0
166,7799,start_time,0
167,7800,start_time,0
168,7801,start_time,0
169,7802,start_time,0
170,7803,start_time,0
171,7804,start_time,0
172,7805,start_time,0
173,7806,start_time,0
174,7807,start_time,0
175,7808,start_time,0
176,7809,start_time,0
177,7810,start_time,0
178,7811,start_time,0
179,7812,start_time,0
180,7813,start_time,0
181,7814,start_time,0
182,7815,start_time,0
183,7816,start_time,0
184,7817,start_time,0
185,7818,start_time,0
186,7819,start_time,0
187,7820,start_time,0
188,7821,start_time,0
189,7822,start_time,0
190,7823,start_time,0
191,7824,start_time,0
192,7825,start_time,0
193,7826,start_time,0
194,7827,start_time,0
195,7828,start_time,0
196,7829,start_time,0
197,7830,start_time,0
198,7831,start_time,0
199,7832,start_time,0
200,7833,start_time,0
201,7834,start_time,0
202,7835,start_time,0
203,7836,start_time,0
204,7837,start_time,0
205,7838,start_time,0
206,7839,start_time,0
207,7840,start_time,0
208,7841,start_time,0
209,7842,start_time,0
210,7843,start_time,0
211,7844,start_time,0
212,7845,start_time,0
213,7846,start_time,0
214,7847,start_time,0
215,7848,start_time,0
216,7849,start_time,0
217,7850,start_time,0
218,7851,start_time,0
219,7852,start_time,0
220,7853,start_time,0
221,7854,start_time,0
222,7855,start_time,0
223,7856,start_time,0
224,7857,start_time,0
225,7858,start_time,0
226,7859,start_time,0
227,7860,start_time,0
228,7861,start_time,1000
229,7862,start_time,2200
230,7863,start_time,2000
231,7864,start_time,2200
232,7865,start_time,1000
233,7866,start_time,2200
234,7867,start_time,2300
235,7868,start_time,2300
236,7869,start_time,1600
237,7870,start_time,2300
238,7871,start_time,2000
239,7872,start_time,2000
240,7873,start_time,0
241,7874,start_time,0
242,7875,start_time,0
243,7876,start_time,0
244,7877,start_time,0
245,7878,start_time,0
246,7879,start_time,0
247,7880,start_time,0
248,7881,start_time,0
249,7882,start_time,0
250,7883,start_time,0
251,7884,start_time,0
252,7885,start_time,0
253,7886,start_time,0
254,7887,start_time,0
255,7888,start_time,0
256,7889,start_time,0
257,7890,start_time,0
258,7891,start_time,0
259,7892,start_time,0
260,7893,start_time,0
261,7894,start_time,0
262,7895,start_time,0
263,7896,start_time,0
264,7897,start_time,0
265,7898,start_time,0
266,7899,start_time,0
267,7900,start_time,0
268,7901,start_time,0
269,7902,start_time,0
270,7903,start_time,0
271,7904,start_time,0
272,7905,start_time,0
273,7906,start_time,0
274,7907,start_time,0
275,7908,start_time,0
276,7909,start_time,0
277,7910,start_time,0
278,7911,start_time,0
279,7912,start_time,0
280,7913,start_time,0
281,7914,start_time,0
282,7915,start_time,0
283,7916,start_time,0
284,7917,start_time,0
285,7918,start_time,0
286,7919,start_time,0
287,7920,start_time,0
288,7921,start_time,0
289,7922,start_time,100
290,7923,start_time,100
291,7924,start_time,100
292,7925,start_time,100
293,7926,start_time,100
294,7927,start_time,100
295,7928,start_time,100
296,7929,start_time,100
297,7930,start_time,100
298,7931,start_time,100
299,7932,start_time,100
300,7933,start_time,100
301,7934,start_time,100
302,7935,start_time,800
303,7936,start_time,600
304,7937,start_time,700
305,7938,start_time,700
306,7939,start_time,700
307,7940,start_time,700
308,7941,start_time,700
309,7942,start_time,0
310,7943,start_time,0
311,7944,start_time,0
312,7945,start_time,0
313,7946,start_time,400
314,7947,start_time,400
315,7948,start_time,0
316,7949,start_time,0
317,7950,start_time,0
318,7951,start_time,0
319,7952,start_time,2000
320,7953,start_time,2000
321,7954,start_time,2000
322,7955,start_time,2000
323,7956,start_time,2000
324,7957,start_time,2000
325,7958,start_time,2000
326,7959,start_time,2000
327,7960,start_time,2000
328,7961,start_time,2000
329,7962,start_time,2000
330,7963,start_time,2000
331,7964,start_time,2000
332,7965,start_time,2000
333,7966,start_time,2000
334,7967,start_time,0
335,7968,start_time,0
336,7969,start_time,0
337,7970,start_time,0
338,7971,start_time,0
339,7972,start_time,0
340,7973,start_time,100
341,7974,start_time,100
342,7975,start_time,100
343,7976,start_time,100
344,7977,start_time,100
345,7978,start_time,100
346,7979,start_time,100
347,7980,start_time,0
348,7981,start_time,0
349,7982,start_time,0
350,7983,start_time,0
351,7984,start_time,0
352,7985,start_time,0
353,7986,start_time,0
354,7987,start_time,0
355,7988,start_time,0
356,7989,start_time,0
357,7990,start_time,0
358,7991,start_time,0
359,7992,start_time,0
360,7993,start_time,0
361,7994,start_time,0
362,7995,start_time,0
363,7996,start_time,0
364,7997,start_time,0
365,7998,start_time,0
366,7999,start_time,0
367,8000,start_time,0
368,8001,start_time,0
369,8002,start_time,0
370,8003,start_time,0
371,8004,start_time,0
372,8005,start_time,0
373,8006,start_time,0
374,8007,start_time,0
375,8008,start_time,0
376,8009,start_time,0
377,8010,start_time,0
378,8011,start_time,0
379,8012,start_time,0
380,8013,start_time,0
381,8014,start_time,0
382,8015,start_time,0
383,8016,start_time,0
384,8017,start_time,0
385,8018,start_time,0
386,8019,start_time,0
387,8020,start_time,0
388,8021,start_time,200
389,8022,start_time,0
390,8023,start_time,1800
391,8024,start_time,1800
392,8025,start_time,1800
393,8026,start_time,1540
394,8027,start_time,1540
395,8028,start_time,1540
396,8029,start_time,1540
397,8030,start_time,1540
398,8031,start_time,1540
399,8032,start_time,700
400,8033,start_time,700
401,8034,start_time,700
402,8035,start_time,1700
403,8036,start_time,1900
404,8037,start_time,1700
405,8038,start_time,600
406,8039,start_time,600
407,8040,start_time,0
408,8041,start_time,1100
